Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude
Al Hamra,Metro Station,0,0,46.7766603,24.7764873
Ad Douh,Metro Station,3,5,46.5883285,24.5827481
Transportation Center,Metro Station,4,5,46.7451024,24.5982926
Uthman Bin Affan Road,Metro Station,1,5,46.6959646,24.8013859
Jarir District,Metro Station,2,5,46.7604457,24.6731455
King Abdulaziz Hospital,Metro Station,0,0,46.717623,24.6597982
Uthman Bin Affan Road,Metro Station,9,5,46.6962161,24.8014266
Pnu 1,Metro Station,0,0,46.7174164,24.8414022
Subway,Metro Station,1240,4.4,46.757702,24.8449826
Tuwaiq,Metro Station,4,5,46.5596991,24.5854683
Ministry of Finance,Metro Station,0,0,46.7163114,24.6521076
Al Muorabba,Metro Station,0,0,46.7023067,24.6649251
As Salam,Metro Station,4,4.8,46.8112005,24.7227015
Gosi,Metro Station,2,5,46.718135,24.6863444
Gosi,Metro Station,2,5,46.7181889,24.686271
Alinma Bank,Metro Station,7,4.9,46.6801812,24.7035164
Subway,Metro Station,290,4,46.809057,24.790553
Sultanah,Metro Station,0,0,46.6864245,24.6149704
Pnu 1,Metro Station,0,0,46.7173804,24.8416876
Ministry of Education,Metro Station,1,4,46.6947968,24.7402112
Subway,Metro Station,151,3.2,46.73385,24.847091
Al Margab,Metro Station,2,5,46.7263636,24.6345611
Subway,Metro Station,101,2.8,46.7134765,24.928824
Subway,Metro Station,23,2.7,46.7119375,24.9420625
A5,Metro Station,44,4.3,46.7164815,24.8594739
Western Station,Metro Station,0,0,46.6148108,24.5819557
Khurais Road,Metro Station,1,5,46.7988127,24.740717
Airport T1-2,Metro Station,0,0,46.6990817,24.9610154
As Sulimaniyah,Metro Station,0,0,46.7003484,24.712787
Subway,Metro Station,371,3.9,46.5819971,24.686647
Subway | صب واي,Metro Station,34,3.9,46.8684691,24.800294
Airport T3-4,Metro Station,1,5,46.702154,24.9560474
Al Andalus,Metro Station,0,0,46.7903506,24.7567803
Metro Station A10,Metro Station,47,4.1,46.7232476,24.8424089
Western Station,Metro Station,8,4.4,46.6139093,24.5796877
Metro Station A7,Metro Station,67,4.1,46.7209859,24.8561417
Officers Club,Metro Station,0,0,46.7178745,24.6979831
Subway,Metro Station,50,4.1,46.510233,24.554896
King Fahd Library,Metro Station,0,0,46.6869545,24.6902867
Subway,Metro Station,362,3.8,46.6561877,24.6089271
King Salman Oasis,Metro Station,0,0,46.6386072,24.717063
Al Margab,Metro Station,0,0,46.7263187,24.6344958
KACST,Metro Station,1,4,46.6480934,24.7210125
Airport T5,Metro Station,2,5,46.7103197,24.9407838
Subway,Metro Station,1247,4.2,46.6248548,24.8043144
Al Muorabba,Metro Station,0,0,46.7022887,24.6648026
Subway,Metro Station,70,2.9,46.7044303,24.9585894
Qasr Al Hokm,Metro Station,3,5,46.7162126,24.6289594
Subway Salman al Farsi,Metro Station,27,4,46.8104972,24.7620542
Al Hamra,Metro Station,0,0,46.7766872,24.775949
Jarir District,Metro Station,1,5,46.760293,24.6729904
STC,Metro Station,0,0,46.6665987,24.7267977
As Salhiyah,Metro Station,0,0,46.7329752,24.6378354
Skirinah,Metro Station,0,0,46.7253485,24.6178532
Hassan Bin Thabit Street,Metro Station,0,0,46.8474565,24.7127625
Subway,Metro Station,106,3.6,46.6048125,24.8231875
Hassan Bin Thabit Street,Metro Station,0,0,46.8475283,24.7127462
Al Andalus,Metro Station,4,5,46.7904404,24.7567803
Al Wizarat,Metro Station,2,4.5,46.7183955,24.6760189
Ishbiliyah,Metro Station,0,0,46.81094,24.7924318
Subway,Metro Station,99,2.6,46.6892213,24.8140087
Kafd,Metro Station,15,4.7,46.6432964,24.7671807
Subway,Metro Station,255,3,46.603968,24.848109
Subway,Metro Station,1248,3.9,46.7822505,24.8171188
Subway,Metro Station,432,3.8,46.634696,24.714707
King Saud University,Metro Station,6,4.3,46.6283574,24.7103062
Subway,Metro Station,178,3.4,46.64682,24.858586
Al Jarradiyah,Metro Station,0,0,46.6974109,24.6182534
Al Owd,Metro Station,0,0,46.7215127,24.6255297
Subway,Metro Station,119,3.5,46.718371,24.854669
Subway,Metro Station,953,4.3,46.7266043,24.8150373
Riyadh Metro Station | MOE,Metro Station,32,4.6,46.6947625,24.7406772
Riyadh Metro Station | SAB,Metro Station,535,4.7,46.6163548,24.8300181
Railway,Metro Station,0,0,46.7406288,24.6494052
Subway,Metro Station,571,3.8,46.642705,24.819551
Subway,Metro Station,14,3.5,46.596536,24.877147
Subway,Metro Station,93,3.1,46.679805,24.836018
An Naseem,Metro Station,8,4.5,46.8275319,24.7004315
Passport Department,Metro Station,2,5,46.7042201,24.6598064
Riyadh Exhibition Center,Metro Station,0,0,46.7271092,24.7545206
An Nuzhah,Metro Station,3,2.3,46.712269,24.7480677
Subway,Metro Station,106,3.6,46.633806,24.848011
Ad Douh,Metro Station,3,5,46.5883824,24.5825439
KACST,Metro Station,0,0,46.6481383,24.7211022
Abu Dhabi square,Metro Station,1,5,46.7164911,24.706079
Subway,Metro Station,130,3.9,46.856108,24.748342
Tuwaiq,Metro Station,2,5,46.5598249,24.5855909
Al Iman Hospital,Metro Station,2,5,46.7358408,24.6005143
Al Hamra,Metro Station,0,0,46.7767052,24.7760958
Khashm Al An,Metro Station,0,0,46.8603114,24.7212165
Subway,Metro Station,199,3.8,46.5946745,24.8175819
Subway,Metro Station,355,3.9,46.889935,24.557829
KAFD Metro Station,Metro Station,561,4.6,46.6430625,24.7674375
