Index,Station name,اسم المحطة,Metro line number,Metro line name,اسم مسار القطار,Station type code,Station type,نوع المحطة,Comments,التعليقات,Sequence of the stops,geo_point_2d
83,SABIC,سابك,Line6,Purple line,المسار البنفسجي,3,Shallow Underground,تحت الأرض على عمق ضحل,,,87,"24.80735674485716, 46.70959638581176"
25,Al Yarmuk,اليرموك,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,,,89,"24.79102722793817, 46.76642231187255"
32,As Salam,السلام,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,,,93,"24.72219711748086, 46.8114455888186"
81,SAB,الأول,Line1,Blue line,المسار الأزرق,1,Elevated,مرتفع,,,1,"24.82943980747947, 46.61843964843821"
18,Al Murooj,المروج,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,,,4,"24.75474607607529, 46.65422135694412"
56,King Fahad District,حي الملك فهد,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,,,5,"24.74491442205136, 46.65932671648558"
26,Alinma Bank,مصرف الانماء,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,,,10,"24.70316648220116, 46.68032471057251"
72,Passport Department,الجوازات,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,,,15,"24.65956045632056, 46.70439494253413"
77,Qasr Al Hokm,قصر الحكم,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,,,18,"24.62858166288806, 46.71611888836972"
19,Al Owd,العود,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,,,19,"24.62531899374494, 46.72101788739987"
62,Manfouhah,منفوحة,Line1,Blue line,المسار الأزرق,1,Elevated,مرتفع,,,21,"24.61045736735081, 46.72751741880297"
48,KACST,المدينة التقنية,Line2,Red line,المسار الأحمر,3,Shallow Underground,تحت الأرض على عمق ضحل,,,28,"24.72017061216426, 46.64693246597055"
87,stc,stc,Line2,Red line,المسار الأحمر,4,Deep Underground,تحت الأرض على عمق كبير,,,30,"24.72655843698455, 46.66654513995131"
55,King Abdulaziz Road,طريق الملك عبدالعزيز,Line2,Red line,المسار الأحمر,3,Shallow Underground,تحت الأرض على عمق ضحل,,,32,"24.73623884393125, 46.68521931745428"
63,Ministry of Education,وزاره التعليم,Line2,Red line,المسار الأحمر,2,At Grade,على مستوى الأرض,,,33,"24.7399774582299, 46.69346684713819"
80,Riyadh Exhibition Center,مركز الرياض للمعارض,Line2,Red line,المسار الأحمر,1,Elevated,مرتفع,,,35,"24.75378482455737, 46.72721163892653"
52,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,Line2,Red line,المسار الأحمر,3,Shallow Underground,تحت الأرض على عمق ضحل,,,36,"24.76705804271704, 46.75897415966957"
96,Tuwaiq,طويق,Line3,Orange line,المسار البرتقالي,1,Elevated,مرتفع,,,42,"24.58532648766099, 46.56190383360955"
4,Ad Douh,الدوح,Line3,Orange line,المسار البرتقالي,1,Elevated,مرتفع,,,43,"24.58293167966869, 46.58806971836369"
88,Sultanah,سلطانه,Line3,Orange line,المسار البرتقالي,1,Elevated,مرتفع,,,47,"24.61481195473457, 46.6861039999333"
16,Al Margab,المرقب,Line3,Orange line,المسار البرتقالي,4,Deep Underground,تحت الأرض على عمق كبير,,,52,"24.63402768715887, 46.72544371164624"
41,First Industrial City,المدينة الصناعية الأولى,Line3,Orange line,المسار البرتقالي,4,Deep Underground,تحت الأرض على عمق كبير,,,54,"24.64518207915902, 46.73949283534146"
15,Al Malaz,الملز,Line3,Orange line,المسار البرتقالي,4,Deep Underground,تحت الأرض على عمق كبير,,,56,"24.66109427633321, 46.74505406619882"
46,Jarir District,حي جرير,Line3,Orange line,المسار البرتقالي,1,Elevated,مرتفع,,,57,"24.67297035932004, 46.76052059417431"
45,Hassan Bin Thabit street,شارع حسان بن ثابت,Line3,Orange line,المسار البرتقالي,3,Shallow Underground,تحت الأرض على عمق ضحل,"Modification on the 26.03.2025, the English name of the station has been changed from ""Hassan Bin Thabit st."" to ""Hassan Bin Thabit street"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Hassan Bin Thabit st."" إلى ""Hassan Bin Thabit street"".",61,"24.71315305285557, 46.84810909256966"
50,KAFD,المركز المالي,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,,,63,"24.7681786337211, 46.64360617754577"
82,SABIC,سابك,Line4,Yellow line,المسار الأصفر,3,Shallow Underground,تحت الأرض على عمق ضحل,,,66,"24.80723540035193, 46.7097506102494"
67,Ministry of Finance,وزارة المالية,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,"Modification on the 26.03.2025, the English name of the station has been changed from ""MOF"" to ""Ministry of Finance"".",تعديل في 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ”MOF“ إلى ”Ministry of Finance“.,73,"24.65127908328224, 46.71573060418663"
1,Abu Dhabi square,ميدان أبو ظبي,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,,,79,"24.70611607029804, 46.71634234922706"
3,Ad Dhabab,الضباب,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,,,80,"24.70915859869369, 46.70835711021662"
64,Ministry of Education,وزاره التعليم,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,,,83,"24.73977015479611, 46.69359791097942"
51,KAFD,المركز المالي,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,,,84,"24.7681786337211, 46.64360617754577"
6,Al Andalus,الأندلس,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,,,91,"24.75674689952316, 46.79050988521736"
54,Khurais Road,طريق خريص,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,"Modification on 26.03.2025, the English name of the station has been changed from ""Khurais Rd."" to ""Khurais Road"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Khurais Rd."" إلى ""Khurais Road"".",92,"24.73808432123275, 46.80009645445539"
